OriginationVintage,GrossApproval,SBAGuaranteedApproval,TermInMonths,InitialInterestRate,JobsSupported,seasonedCount,MPRIME,PP,IP,CORPORATIONCount,INDIVIDUALCount,PARTNERSHIPCount,LoanPortfolioAmortized,GrossApprovalChargedOff,SBAGuaranteedApprovalChargedOff,GrossChargeOffAmount,CORPORATIONChargedOff,INDIVIDUALChargedOff,PARTNERSHIPChargedOff,MajorState,OtherState,TermInMonthsChargedOff,InitialInterestRateChargedOff,seasonedTime,seasonedChargedOffPool,JobsSupportedChargedOff,MPRIMEChargedOff,rollSumChargeOff,rollAvgPortfolioAmortized,rollLossRate,rollLossRateDiff,unEmpScore,unEmpScoreDiff,ChargedOffLoans,LoansInPool,seasonedRatioPool,CorporationRatio,IndividualRatio,PartnerShipRatio
2002-05-01,1039536128,755536254,179.06470483534747,4.75,10.94475179894854,3265.0,4.75,486670715.56350124,464434730.7245612,277088.0,149099.0,27853.0,71213560691.6942,75339568.0,55260485.0,42933210.0,257.0,142.0,18.0,214.0,203.0,115.58812413513921,4.75,55.592086545590234,0.557097687314785,2.055264863726705,4.75,407894456.0,68705537046.7695,0.005936849830929005,0.0010466326134492866,5.838618206221449,-0.026145536176144013,417.0,454040.0,0.007190996387983438,0.6102722227116554,0.3283829618535812,0.06134481543476346
2002-06-01,1006107460,732251903,178.08935305677983,4.75,10.556234181982907,3429.0,4.75,493684862.8453924,465306777.9410961,280136.0,150320.0,28016.0,71725983288.8488,73408906.0,54185269.0,41357173.0,275.0,121.0,22.0,211.0,207.0,99.83749322034173,4.75,52.60407956317517,0.6232875491755686,4.100012759576193,4.75,424380625.0,69162370279.0062,0.006136004640789734,0.0013249898475290534,5.829268598316601,-0.009349607904848511,418.0,458472.0,0.007479191749986913,0.6110209565687763,0.3278717129944686,0.06110733043675513
2002-07-01,1035489671,755341687,180.37157563592925,4.75,10.58728762828963,3226.0,4.75,500786776.0526534,466259233.8994665,283327.0,151609.0,28211.0,72260686183.79614,89386242.0,66555849.0,53030757.0,306.0,146.0,20.0,237.0,235.0,120.83364201269086,4.75,54.087155553898654,0.5423901642588281,2.271008558297593,4.75,451241513.0,69630899349.65219,0.006480478023615445,0.001670508091061302,5.80953962395502,-0.019728974361580498,472.0,463147.0,0.006965391117722883,0.6117431398670401,0.3273453136909016,0.06091154644205835
2002-08-01,1082311214,782974849,172.35619131633612,4.75,13.40855541574385,3282.0,4.75,508373051.3960679,467360725.3013155,286879.0,153118.0,28433.0,72834624346.40009,84595181.0,61606224.0,47501774.0,239.0,152.0,24.0,224.0,191.0,123.44866336991961,4.75,53.7187824185261,0.5004737928314004,2.8091927050977086,4.75,456052965.0,70097413842.46066,0.006505988452369286,0.0014521404091735217,5.815957081966166,0.006417458011146238,415.0,468430.0,0.007006383024144483,0.6124266165702453,0.32687487991802405,0.06069850351173067
2002-09-01,2065857709,1482773911,193.22511507301493,4.75,12.777607595141491,3965.0,4.75,518745006.233349,472317147.50261915,291768.0,154931.0,28695.0,74381737049.16673,120061255.0,88521827.0,73612168.0,354.0,176.0,32.0,301.0,261.0,121.49208194764756,4.75,49.711490958940374,0.46502332331796015,5.066174820445446,4.75,477780281.0,70646885514.74129,0.006762934806238637,0.0014873176527966858,5.8243763306609395,0.008419248694773174,562.0,475394.0,0.008340450237066517,0.6137393404207878,0.32590020067565006,0.0603604589035621
2002-10-01,667830329,482910298,154.57539399651913,4.75,8.71844869147894,3501.0,4.75,525171887.0223536,471690353.22027564,294875.0,156304.0,28851.0,74524395491.14438,59711645.0,44853850.0,33522918.0,196.0,99.0,15.0,157.0,153.0,123.92101812258706,4.75,50.68999927154313,0.4913546607130083,4.767254986573663,4.75,489542710.0,71179376481.2455,0.006877591996453998,0.001541668998315513,5.8497771898740645,0.02540085921312496,310.0,480030.0,0.0072932941691144304,0.614284523883924,0.3256129825219257,0.06010249359415037
2002-11-01,721758558,521132202,161.96853423662486,4.35,10.313174547768924,3322.0,4.35,531785187.5158397,471002638.6882758,297955.0,157580.0,29013.0,74714368861.62854,46832407.0,33642196.0,27758727.0,176.0,74.0,11.0,149.0,112.0,122.45940925172829,4.35,47.33957457775351,0.4983409001428632,6.384879789336161,4.35,492926155.0,71699039725.9475,0.0068749338468700955,0.0015335790769145721,5.900967160104695,0.05118997023063088,261.0,484548.0,0.006855873927866796,0.6149132800052832,0.3252102990828566,0.05987642091186013
2002-12-01,873032717,632593858,174.0629506236477,4.25,10.893704611301526,3160.0,4.25,538760598.8978695,470757047.2547291,301091.0,158866.0,29198.0,75048640979.73067,51972181.0,38936130.0,31300980.0,182.0,85.0,16.0,152.0,131.0,121.12309940455539,4.25,52.9182614090677,0.5146131207393506,3.652107537847058,4.25,501261399.0,72204656871.82726,0.006942230885326479,0.0015535406493898101,5.947303338877699,0.04633617877300367,283.0,489155.0,0.006460120002862078,0.6155329087916918,0.32477640011857184,0.05969069108973638
2003-01-01,1216964795,877933613,187.59526371590724,4.25,11.121255727040156,3180.0,4.25,546732803.7307564,471694980.330612,304737.0,160295.0,29388.0,75718872970.99991,66547709.0,48652137.0,43196336.0,251.0,126.0,14.0,203.0,188.0,101.43684304613244,4.25,48.19716771811387,0.5752534427919997,9.926376255615754,4.25,502044606.0,72739695457.52222,0.006901934395548561,0.001309543789455911,5.980919116566097,0.033615777688398296,391.0,494420.0,0.006431778649730998,0.6163524938311556,0.32420816310019823,0.05943934306864609
2003-02-01,545581090,395003135,138.31481527154835,4.25,8.99103429336233,3161.0,4.25,553215721.3847889,470216929.5077895,307720.0,161599.0,29552.0,75711238339.61513,78071327.0,56643159.0,44885782.0,264.0,116.0,15.0,204.0,191.0,138.63599292978788,4.25,50.390135232577656,0.4473700603010548,7.176749421453769,4.25,518037007.0,73247472151.51115,0.007072421638366567,0.001494280879763811,6.027352839434827,0.04643372286872971,395.0,498871.0,0.006336307382068711,0.6168328084815513,0.3239294326589439,0.05923775885950476
